CAND_ID|CAND_NAME|CAND_ICI|PTY_CD|PTY_AFFILIATION|TTL_RECEIPTS|TRANS_FROM_AUTH|TTL_DISB|TRANS_TO_AUTH|COH_BOP|COH_COP|CAND_CONTRIB|CAND_LOANS|OTHER_LOANS|CAND_LOAN_REPAY|OTHER_LOAN_REPAY|DEBTS_OWED_BY|TTL_INDIV_CONTRIB|CAND_OFFICE_ST|CAND_OFFICE_DISTRICT|SPEC_ELECTION|PRIM_ELECTION|RUN_ELECTION|GEN_ELECTION|GEN_ELECTION_PERCENT|OTHER_POL_CMTE_CONTRIB|POL_PTY_CONTRIB|CVG_END_DT|INDIV_REFUNDS|CMTE_REFUNDS
H4AK00123|DUNBAR, FORREST|C|1|DEM|550|0|7563.97|0|7367.75|353.78|0|0|0|0|0|0|0|AK|00||||||0|0|01/27/2016|0|0
H0AK00097|COX, JOHN R.|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|0|0|AK|00||||||0|0|07/18/2016|0|0
H6AK00045|YOUNG, DONALD E|I|2|REP|1103561.86|0|1322055.12|0|488220.12|269726.86|0|0|0|0|0|0|640393.04|AK|00||||||459603.99|0|12/31/2016|2250|3000
H8AK00116|LEDOUX, GABRIELLE R|C|2|REP|0|0|0|0|479|479|0|0|0|0|0|366000|0|AK|00||||||0|0|12/31/2016|0|0
H6AK00235|LINDBECK, STEVE||1|DEM|1102309.77|0|1098098.09|0|0|4211.68|17555|0|0|0|0|10800|999400.98|AK|||||||67074.61|5000|12/31/2016|884.01|0
H4AL01123|BYRNE, BRADLEY ROBERTS|I|2|REP|1367469.77|33152|1172750.28|0|251598.84|446318.33|0|0|0|0|0|0|491117.77|AL|01||||||843200|0|12/31/2016|1100|0
H4AL01149|FINCHER, CHAD|C|2|REP|0|0|0|0|1904.14|1904.14|0|0|0|0|0|38000|0|AL|01||||||0|0|06/30/2015|0|0
H6AL01060|YOUNG JR, LARRY DEAN|C|2|REP|178766.88|0|178474.16|0|0|0|0|159000|0|0|0|0|19766.88|AL|01||||||0|0|04/14/2016|0|0
H6AL02167|MATHIS, NATHAN|C|1|DEM|36844|0|36844|0|0|0|0|36844|0|0|0|19757|0|AL|02||||||0|0|11/16/2016|0|0
H0AL02087|ROBY, MARTHA|I|2|REP|1404260.12|0|1850535.64|0|491726.24|45450.72|0|0|0|0|0|0|574878.88|AL|02||||||828775|0|12/31/2016|17550|4283.03
H6AL02142|GERRITSON, REBECCA (BECKY)|C|2|REP|206908.19|0|206908.19|0|0|0|12731.58|0|0|0|0|0|180871.8|AL|02||||||11500|0|09/30/2016|1845|0
H6AL02159|ROGERS, ROBERT L|C|2|REP|25382|0|32492|0|0|0|0|25482|0|7110|0|0|0|AL|02||||||0|0|04/15/2016|0|0
H8AL02080|LOVE, JAY K|O|2|REP|0|0|0|0|372.13|372.13|0|0|0|0|0|194214.55|0|AL|02||||||0|0|12/31/2016|0|0
H4AL02071|WRIGHT, ERICK|C|3|IND|0|0|0|0|0|0|0|0|0|0|0|0|0|AL|02||||||0|0|06/30/2015|0|0
H4AL03061|SMITH, JESSE TREMAIN|C|1|DEM|9810|0|7348|0|0|0|3200|0|0|0|0|0|9810|AL|03||||||0|0|12/31/2016|0|0
H8AL03039|TURNHAM, JOSEPH R|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|19795.4|0|AL|03||||||0|0|12/31/2016|0|0
H2AL03032|ROGERS, MICHAEL DENNIS|I|2|REP|1139022.37|0|1071289.42|167500|457814.01|525546.96|0|0|0|0|0|0|459627|AL|03||||||660800|14850|12/31/2016|1000|200
H6AL03157|DICHIARA, LARRY|C|2|REP|64791.68|0|67148.66|0|0|-2356.98|0|47073.64|0|0|0|53062.78|17718.04|AL|03||||||0|0|03/09/2016|0|0
H6AL04098|ADERHOLT, ROBERT BROWN|I|2|REP|1441035.62|0|1394461.23|0|418937.87|465512.26|0|0|0|0|0|0|484207.65|AL|04||||||953802.12|0|12/31/2016|2751|3000
H6AL04148|NORRIS, PHILLIP|C|2|REP|3605.76|0|3605.76|0|0|0|3500|0|0|0|0|0|105|AL|04||||||0|0|06/24/2016|55.31|0
H0AL05049|CRAMER, ROBERT E "BUD" JR||1|DEM|25967.41|0|261029.18|0|962641.58|727579.81|0|0|0|0|0|0|0|AL|05||||||0|0|12/31/2016|0|0
H6AL05038|FLIPPO, RONNIE GENE|C|1|DEM|-35771|0|0|0|246084|210308|0|0|0|0|0|0|0|AL|05||||||0|0|12/31/2016|0|0
H6AL05202|BOYD, WILLIE "WILL" DR. JR.|C|1|DEM|61311.93|0|61251.11|0|0|60.82|2841.98|0|2893.2|0|0|0|35546.75|AL|05||||||19500|500|12/31/2016|0|0
H0AL05163|BROOKS, MO|I|2|REP|476225.18|0|119723.76|5000|814436.28|1170937.7|0|0|0|0|0|0|211307|AL|05||||||260033.21|0|12/31/2016|50|0
H4AL05082|BRAY, MARK|C|3|IND|2.31|0|2408.89|0|2406.58|0|0|0|0|0|2408.89|-8|0|AL|05||||||0|0|07/05/2015|0|0
H6AL06127|PUTMAN, DAVID|C|1|DEM|197378.52|0|197378.52|0|0|0|76959.52|112400|0|112400|0|0|8019|AL|06||||||0|0|12/31/2016|0|0
H0AL06088|COOKE, STANLEY KYLE|C|2|REP|0|0|0|0|81|81|0|0|0|0|0|6000|0|AL|06||||||0|0|06/30/2015|0|0
H2AL06035|BACHUS, SPENCER REP.|C|2|REP|2444.41|0|8723.17|0|6278.76|0|0|0|0|0|0|0|0|AL|06||||||0|0|03/31/2015|0|0
H2AL06126|BEASON, JASON SCOTT|O|2|REP|0|0|3045.13|0|917.79|2800.15|0|0|0|0|0|0|0|AL|06||||||0|0|12/31/2016|0|0
H4AL06098|PALMER, GARY|I|2|REP|1232446.2|0|769978.37|0|189712.5|652180.33|0|0|0|0|0|0|931340.52|AL|06||||||285264|0|12/31/2016|13050|2700
H0AL07086|SEWELL, TERRYCINA ANDREA|I|1|DEM|1630079.97|0|1087017.93|260210|421463.72|964525.76|0|0|0|0|0|0|363610.21|AL|07||||||1263095|0|12/31/2016|11700|1500
H0AL07094|HILLIARD, EARL FREDERICK JR|O|1|DEM|0|0|0|0|33.54|33.54|0|0|0|0|0|42684.47|0|AL|07||||||0|0|12/31/2016|0|0
H0AR01109|CAUSEY, CHAD|O|1|DEM|500|0|875|0|1706.59|1331.59|0|0|0|0|0|111199.55|500|AR|01||||||0|0|12/31/2016|0|0
H4AR01051|MCPHERSON, JACKIE|C|1|DEM|8157.69|0|13177.62|0|5019.93|0|0|0|0|0|0|0|0|AR|01||||||0|0|12/07/2016|0|0
H0AR01083|CRAWFORD, ERIC ALAN RICK|I|2|REP|669501.96|0|808955.49|0|398030.53|258577|0|0|0|0|0|0|261228.63|AR|01||||||407500|683.25|12/31/2016|0|0
H0AR01125|SMITH, PRINCELLA D|O|2|REP|0|0|0|0|4|4|0|0|0|0|0|0|0|AR|01||||||0|0|12/31/2016|0|0
H0AR02131|ELLIOTT, JOYCE ANN|O|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AR|02||||||0|0|06/12/2015|0|0
H6AR02245|CURRY, DIANNE|C|1|DEM|37666.34|0|28822.83|0|0|9.42|10000|0|0|0|0|0|22935.2|AR|02||||||0|1550|12/31/2016|0|0
H4AR02141|HILL, JAMES FRENCH|I|2|REP|2240181.57|51237.12|1640764.53|0|49251.83|648668.87|0|0|0|0|0|0|1255061.69|AR|02||||||893432.69|1250|12/31/2016|850|0
H4AR02166|REYNOLDS, CONRAD EARL|O|2|REP|0|0|0|0|0|0|0|0|0|0|0|0|0|AR|02||||||0|0|01/01/2015|0|0
H6AR02252|OLREE, BROCK|C|2|REP|18454.97|0|18436.4|0|0|18.57|3006.28|15000|0|0|0|15000|448.1|AR|02||||||0|0|12/31/2016|0|0
H0AR03030|WHITAKER, DAVID JEFFREY|O|1|DEM|0|0|0|0|3367.43|3367.43|0|0|0|0|0|18457.09|0|AR|03||||||0|0|12/31/2016|0|0
H0AR03055|WOMACK, STEVE|I|2|REP|931782.13|0|568200.63|0|802234.66|1165816.16|0|0|0|0|0|0|360459.07|AR|03||||||570823.06|0|12/31/2016|300|0
H2AR03143|HENDREN, JAMES PAUL|C|2|REP|7.28|0|0|0|90.63|97.91|0|7|0|0|0|450137|0|AR|03||||||0|0|12/31/2016|0|0
H2AR04133|HURST, Q. BYRUM JR|O|1|DEM|0|0|0|0|20.61|20.61|0|0|0|0|0|8982.22|0|AR|04||||||0|0|12/31/2016|0|0
H2AR04083|COTTON, THOMAS|C|2|REP|1170418|224386|1151866|0|215874|271846|0|0|0|0|0|105862|678477|AR|04||||||259750|0|12/31/2016|3761|0
H4AR04048|WESTERMAN, BRUCE MR.|I|2|REP|716791.26|0|464458.86|0|92201.41|344533.81|0|0|0|0|0|0|337067.99|AR|04||||||379710|0|12/31/2016|0|1000
H0AS00018|FALEOMAVAEGA, ENI|C|1|DEM|0|0|102.89|0|102.89|0|0|0|0|0|0|0|0|AS|00||||||0|0|03/31/2015|0|0
H4AS00069|JAMIAS, MAPU S.|C|1|DEM|11803|0|8243|0|0|0|2603|0|0|0|0|0|9200|AS|00||||||0|0|11/28/2016|0|0
H4AS00036|AMATA, AUMUA|I|2|REP|78278.3|0|75562.51|0|.8|2099.17|0|0|0|0|0|0|42820.35|AS|00||||||13457.95|22000|12/31/2016|0|0
H6AS00031|HUNKIN-FINAU, VAITINASA SALU||1|DEM|41670|0|38167.44|0|1058.44|4561|12900|0|0|0|0|0|20555|AS|||||||0|8215|10/19/2016|0|0
H2AZ01271|BALDENEGRO, WENONA RAE BENALLY|C|1|DEM|2669.95|0|0|0|-2669.95|0|0|0|0|0|0|3400|2669.95|AZ|01||||||0|0|12/31/2016|0|0
H6AZ01199|O'HALLERAN, TOM|O|1|DEM|1605996.95|0|1588705.07|8875|0|17291.88|9354.44|0|0|0|0|72634.9|1075474.05|AZ|01||||||509650|9999.23|12/31/2016|7808.66|0
H6AZ01223|MALONEY, JAMES|O|1|DEM|94477.47|0|89086.16|0|0|5391.31|24005|0|0|0|0|0|70471.11|AZ|01||||||0|0|12/31/2016|60112.9|0
H8AZ01104|KIRKPATRICK, ANN|I|1|DEM|423178.9|588.16|510798.08|273223.82|87619.18|0|0|0|0|0|0|0|204959.83|AZ|01||||||207500|600.33|12/31/2015|4728.98|0
H0AZ01325|TOBIN, ANDY HON.|C|2|REP|187.19|0|8352.74|0|8240.37|74.82|0|0|0|0|0|0|0|AZ|01||||||0|0|01/26/2015|0|0
H2AZ01172|RENZI, RICHARD G.||2|REP|0|0|0|0|1244.79|1244.79|0|0|0|0|0|456157.37|0|AZ|01||||||0|0|12/31/2016|0|0
H2AZ04127|BABEU, PAUL RAYMOND|O|2|REP|1294238.74|5191.75|1293719.68|0|0|519.06|0|0|0|0|0|0|1080639.69|AZ|01||||||187808.5|7200|12/31/2016|8213|0
