CMTE_ID|CMTE_NM|CMTE_TP|CMTE_DSGN|CMTE_FILING_FREQ|TTL_RECEIPTS|TRANS_FROM_AFF|INDIV_CONTRIB|OTHER_POL_CMTE_CONTRIB|CAND_CONTRIB|CAND_LOANS|TTL_LOANS_RECEIVED|TTP_DISB|TRANSF_TO_AFF|INDV_REFUNDS|OTHER_POL_CMTE_REFUNDS|CAND_LOAN_REPAY|LOAN_REPAY|COH_BOP|COH_COP|DEBTS_OWED_BY|NONFED_TRANS_RECEIVED|CONTRIB_TO_OTHER_CMTE|IND_EXP|PTY_COORD_EXP|NONFED_SHARE_EXP|CVG_END_DT
C00000059|HALLMARK CARDS PAC|Q|U|M|123198.92|0|123198.92|0|0|0|0|88500|0|0|0|0|0|104794.36|139493.28|0|0|88500|0|0|0|12/31/2016
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|2114478.16|0|2099958.16|0|0|0|0|2047839.79|1790|12621.71|0|0|0|552464.38|619102.75|0|0|1853000|141616.35|0|0|12/31/2016
C00000489|D R I V E POLITICAL FUND CHAPTER 886|N|U|Q|41455.17|41453|0|0|0|0|0|39672.85|0|0|0|0|0|192|1974|0|0|0|0|0|0|12/31/2016
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|Q|19065|0|19065|0|0|0|0|17592.5|2592.5|0|0|0|0|4681.26|6153.76|0|0|15000|0|0|0|12/31/2016
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|U|Q|143170|0|142570|0|0|0|0|85918.48|13222.5|0|0|0|0|35530.91|92782.43|0|0|3000|0|0|0|12/31/2016
C00000729|AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|2662755.28|123134.88|2500235.05|0|0|0|0|2584197.84|295000|8386.73|0|0|0|419310.99|497868.43|0|0|2222995|0|0|0|12/31/2016
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE|Q|B|M|5754649.9|0|5680825.24|0|0|0|0|5477767.42|0|500|0|0|0|450496.76|727379.24|0|0|2189076|0|0|0|12/31/2016
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)|Q|B|M|3052617.19|0|2961408.28|7500|0|0|0|2949971.94|0|28657.34|0|0|0|361497.38|464142.63|0|0|2812000|0|0|0|12/31/2016
C00000935|DCCC|Y|U|M|220891388.49|6619252.47|147346246.71|38631410.54|0|0|0|216358583.53|26206817.84|2732586.69|14300|0|13000000|2149438.76|6682243.72|14000000|0|403810.19|80378630.35|3612999.17|0|12/31/2016
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|Q|B|M|209068|0|154320|54558.46|0|0|0|212569.98|0|0|0|0|0|117600.99|114099.01|0|0|212500|0|0|0|12/31/2016
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|Q|B|M|4982921.14|2271779.41|2463842.6|0|0|0|0|3564209.28|443574.55|82.46|0|0|0|560022.28|1978734.14|0|0|2001667|0|0|0|12/31/2016
