MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Blood Red Sky,(2021),"
Action, Horror, Thriller            ",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","
    Director:
Peter Thorwarth
| 
    Stars:
Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti
","21,062",121,
Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5.0,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","
            
    Stars:
Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill
","17,870",25,
The Walking Dead,(2010–2022),"
Drama, Horror, Thriller            ",8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","
            
    Stars:
Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan
","885,805",44,
Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","
            
    Stars:
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
","414,849",23,
Army of Thieves,(2021),"
Action, Crime, Horror            ",,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","
    Director:
Matthias Schweighöfer
| 
    Stars:
Matthias Schweighöfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin
",,,
Outer Banks,(2020– ),"
Action, Crime, Drama            ",7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.","
            
    Stars:
Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss
","25,858",50,
The Last Letter from Your Lover,(2021),"
Drama, Romance            ",6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.","
    Director:
Augustine Frizzell
| 
    Stars:
Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones
","5,283",110,
Dexter,(2006–2013),"
Crime, Drama, Mystery            ",8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","
            
    Stars:
Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar
","665,387",53,
Never Have I Ever,(2020– ),"
Comedy            ",7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","
            
    Stars:
Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe
","34,530",30,
Virgin River,(2019– ),"
Drama, Romance            ",7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","
            
    Stars:
Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson
","27,279",44,
Gunpowder Milkshake,(2021),"
Action, Adventure, Thriller            ",6.0,"
Three generations of women fight back against those who could take everything from them.","
    Director:
Navot Papushado
| 
    Stars:
Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh
","17,989",114,
Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","
            
    Stars:
Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside
","264,222",42,
Fear Street: 1994,(2021),"
Drama, Horror, Mystery            ",6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.","
    Director:
Leigh Janiak
| 
    Stars:
Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald
","50,148",107,
Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",5.4,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.","
            
    Stars:
Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette
","12,172",,
American Horror Story,(2011– ),"
Drama, Horror, Thriller            ",8.0,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","
            
    Stars:
Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson
","286,488",60,
Grey's Anatomy,(2005– ),"
Drama, Romance            ",7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.","
            
    Stars:
Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers
","266,258",41,
Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ",9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","
            
    Stars:
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
","1,552,311",49,
