salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at
1,opower,"san francisco, ca",CA,US,37.77,-122.41,systems engineer,Engineering,,13,2,125000,5000,0,5000 shares,Don't work here.,3/21/16 12:58
3,walmart,"bentonville, ar",AR,US,36.36,-94.2,senior developer,Software,Senior,15,8,65000,,5000,"3,000",,3/21/16 12:58
4,vertical knowledge,"cleveland, oh",OH,US,41.47,-81.67,software engineer,Software,,4,1,86000,5000,6000,0,,3/21/16 12:59
6,netapp,waltham,,,,,mts,Other,,4,0,105000,5000,8500,0,,3/21/16 13:00
12,apple,cupertino,,,,,software engineer,Software,,4,3,110000,5000,7000,150000,,3/21/16 13:02
14,casino,eastern oregon,OR,US,38,-97,it technician,Other,,5,1.5,40000,0,500,0,,3/21/16 13:03
16,tetra tech,"madison, wi",WI,US,43.1,-89.5,lead interviewer,Other,,4,2.5,45000,0,1500,,,3/21/16 13:03
17,knewton,new york city,NY,US,38,-97,senior software engineer,Software,Senior,8,2,135000,0,0,,,3/21/16 13:03
21,amplify,nyc,,,,,software engineer,Software,,2,1,105000,0,47000,0,,3/21/16 13:04
23,sqor,san francisco,,,,,infrastructure/platform engineer,Engineering,,1,1,80000,0,0,500,,3/21/16 13:04
24,pensco trust company,"denver, co",CO,US,39.82,-105.1,senior software engineer,Software,Senior,10,1.5,120000,0,6000,0,,3/21/16 13:04
25,thoughtworks,chicago,,,,,"software developer, consultant",Software,,2,2,78000,0,0,0,,3/21/16 13:04
30,purdue,"west lafayette, in",IN,US,40.44,-86.91,web developer,Web,,2,1.5,60000,,,,Discounted education for employees.,3/21/16 13:05
34,small b2b company,minneapolis,,,,,analyst,Data,,4,1,63000,0,2000,0,,3/21/16 13:05
35,small b2b company,minneapolis,,,,,analyst,Data,,4,1,63000,0,2000,0,,3/21/16 13:05
36,sqli,bordeaux,,,,,it project manager,Management,,8,3,38,0,0,0,,3/21/16 13:05
